conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,Especialista em ciências comportamentais,released,,"Os especialistas em ciências comportamentais investigam, observam e descrevem o comportamento humano na sociedade. Retiram conclusões sobre os motivos que levam o ser humano a realizar determinadas ações, observam as diversas circunstâncias para diferentes comportamentos e descrevem diferentes personalidades. Prestam aconselhamento a organizações e a instituições governamentais neste domínio. Podem também analisar o comportamento dos animais.",http://data.europa.eu/esco/isco/C2632,"Sociólogos, antropólogos e especialistas similares"
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,Professor de Jornalismo/Professora de Jornalismo,released,Professor universitário de Jornalismo | Professora de Jornalismo | Professora universitária de Jornalismo | Professor de Jornalismo,"Os professores de Jornalismoe comunicação social são professores universitários ou docentes em geral que lecionam a alunos com um diploma do ensino secundário o seu próprio domínio de estudos especializado, o Jornalismo e Comunicação Social, que é predominantemente de natureza académica. Trabalham com os seus assistentes de investigação universitária e professores assistentes universitários na preparação de aulas e exames, na classificação de estudos e exames e na realização de sessões de informação e de feedback para os alunos. Realizam também investigação académica no respetivo domínio do Jornalismo e Comunicação Social, publicam as suas conclusões e mantêm contactos com os seus colegas académicos.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Professor universitário/Professora universitária
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,Professor de Ciências da Comunicação/Professora de Ciências da Comunicação,released,Professora universitária de Ciências da Comunicação | Professor universitário de Ciências da Comunicação | Professor de Ciências da Comunicação | Professora de Ciências da Comunicação,"Os professores de Ciências da Comunicação são professores universitários ou docentes em geral que lecionam a alunos com um diploma do ensino secundário o seu próprio domínio de estudos especializado, as Ciências da Comunicação, que é predominantemente de natureza académica. Trabalham com os seus assistentes de investigação universitária e professores assistentes universitários na preparação de aulas e exames, na classificação de estudos e exames e na realização de sessões de informação e de feedback para os alunos. Realizam também investigação académica no respetivo domínio das Ciências da Comunicação, publicam as suas conclusões e mantêm contactos com os seus colegas académicos.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Professor universitário/Professora universitária
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,oceanógrafo/oceanógrafa,released,Geólogo marinho | Geóloga marinha | Oceanógrafo | Oceanógrafa,"Os oceanógrafos estudam e investigam questões relacionadas com o mar e os oceanos. Os oceanógrafos dividem os seus conhecimentos em diferentes ramos de investigação: a oceanografia física cuja investigação incide sobre ondas e marés, a oceanografia química cujos estudos dizem respeito à constituição química das águas do mar e a oceanografia geológica cuja investigação se refere ao fundo dos mares e suas placas.
   ",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,Geólogo/Geóloga
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,Professor de Arquitetura/Professora de Arquitetura,released,Professor universitário de Arquitetura | Professor de Arquitetura | Professora de arquitetura | Professora universitária de Arquitetura,"Os professores de Arquitetura são professores universitários ou docentes em geral que lecionam a alunos com um diploma do ensino secundário o seu próprio domínio de estudos especializado, a Arquitetura, que é predominantemente de natureza académica. Trabalham com os seus assistentes de investigação universitária e professores assistentes universitários na preparação de aulas e exames, na classificação de estudos e exames e na realização de sessões de informação e de feedback para os alunos. Realizam também investigação académica no respetivo domínio da Arquitetura, publicam as suas conclusões e mantêm contactos com os seus colegas académicos.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Professor universitário/Professora universitária
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,Engenheiro especialista em tecnologias de sensores/Engenheira especialista em tecnologias de sensores,released,Engenheiro especialista em tecnologias de sensores | Engenheira especialista em tecnologias de sensores,"Os engenheiros especialistas em tecnologias de sensores concebem e desenvolvem sensores, sistemas de sensores e produtos equipados com sensores. Planificam e controlam o fabrico desses produtos.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,Engenheiro eletrónico/Engenheira eletrónica
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,Politólogo/Politóloga,released,Politicóloga | Especialista em ciências políticas | Politóloga | Politólogo | Politicólogo,"Os politólogos estudam o comportamento, a atividade e os sistemas políticos, incluindo os elementos que deles fazem parte. O estudo deste domínio abrange desde as origens e a evolução dos vários sistemas políticos até temas atuais, como os processos de tomada de decisão, o comportamento político, as tendências políticas, a sociedade e as perspetivas de poder. Prestam aconselhamento a governos e a organizações institucionais sobre questões de governação.",http://data.europa.eu/esco/isco/C2633,"Filósofos, historiadores e especialistas das ciências políticas"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psicólogo/Psicóloga,released,Psicólogo | Psicóloga,"Os psicólogos estudam o comportamento e os processos mentais do ser humano. Prestam serviços a clientes que lidam com problemas de saúde mental e problemas relacionados com a vida, como o luto, as dificuldades de relacionamento, a violência doméstica e o abuso sexual. Prestam igualmente aconselhamento sobre problemas de saúde mental, como distúrbios alimentares, perturbação do stress pós-traumático e psicoses, a fim de ajudarem os clientes a reaverem e obterem comportamentos saudáveis.",http://data.europa.eu/esco/isco/C2634,Psicólogos
Occupation,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,Hidrólogo/Hidróloga,released,Hidróloga de superfície | Hidrólogo de superfície | Hidrobióloga | Hidrólogo | Hidróloga | Hidrobiólogo,"Os hidrólogos investigam e estudam a qualidade, os atuais desafios e a distribuição da água na Terra. Estudam o abastecimento de água a partir de rios, cursos de água e nascentes para determinar a sua utilização adequada e sustentável. Juntamente com uma equipa integrada de profissionais, planificam e desenvolvem a forma como a água pode ser fornecida às cidades e às zonas urbanas, assegurando simultaneamente a eficiência e a conservação dos recursos.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,Geólogo/Geóloga
Occupation,http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,cientista veterinário/cientista veterinária,released,,"Os cientistas veterinários desenvolvem e realizam investigação em modelos de animais, comparam a biologia básica entre animais e traduzem os resultados da investigação para diferentes espécies, incluindo os seres humanos.",http://data.europa.eu/esco/isco/C2250,Veterinários
