conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bbbd263e-affb-4ec8-84fb-3e5d9e62306b,fazer modelo de simulação de equipamento informático,released,skill/competence,sector-specific,,"Fazer um modelo de simulação de equipamento informático, utilizando software de design técnico. Avaliar a viabilidade do produto e examinar os parâmetros físicos para garantir o êxito do processo de produção.",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,conceber sistemas ou aplicações tic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc067d2e-e151-408f-8e34-24effd2b7fd6,utilizar tecnologias de contratação pública eletrónica,released,skill/competence,sector-specific,,"Utilizar tecnologias, aplicações e ferramentas de contratação pública eletrónica para reduzir os encargos administrativos, melhorar a eficiência e reforçar a transparência e a responsabilização nos procedimentos de contratação pública.
   ",http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utilizar serviços em linha | utilizar ferramentas digitais para colaboração e produtividade
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,gerir identidades digitais,released,skill/competence,cross-sector,,"Criar e gerir uma ou várias identidades digitais, ser capaz de proteger a sua própria reputação, tratar os dados produzidos em várias ferramentas, ambientes e serviços digitais.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,comunicação e colaboração digitais | trabalhar com dispositivos e aplicações digitais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bcc0db5f-c1e8-4f08-b68b-020396ef07b9,utilizar software de reprodução de som,released,skill/competence,sector-specific,,"Operar software e equipamento que transformam e reproduzem sons digitais, sons analógicos e ondas sonoras para a transmissão do som áudio pretendido.",http://data.europa.eu/esco/skill/b5b09dac-5b28-40a5-b671-5f9aa31f65d8 | http://data.europa.eu/esco/skill/c53a55a1-8b2b-4d2c-b12d-626742a3833a,operar equipamento áudio | utilizar ferramentas digitais para tratamento de sons e imagens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bd08f332-a295-4a59-a13a-05b08ca3761b,instalar monitores de controlo de processos,released,skill/competence,cross-sector,instalar monitores de vigilância | instalar monitores para controlo de processos | montar monitores de controlo | instalar monitores para controlar processos | instalar ecrãs para controlo de processos,Planear e implementar um sistema de monitores para o controlo de processos específicos numa organização ou sistema.,http://data.europa.eu/esco/skill/a7065828-10aa-4aba-b7d4-f23a30df5060,"instalar e reparar equipamento elétrico, eletrónico e de precisão"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bd14968e-e409-45af-b362-3495ed7b10e0,tecnologias em nuvem,released,knowledge,sector-specific,tecnologias de computação em nuvem | tecnologias na nuvem | computação em nuvem | tecnologias de nuvem | computação periférica,"As tecnologias que permitem o acesso a hardware, software, dados e serviços através de servidores e redes de software remotos, independentemente da sua localização e arquitetura.",http://data.europa.eu/esco/isced-f/0612,design e administração de bases de dados e de redes informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bdb4f02e-72d5-41ca-a662-0498dc3fb070,avaliação de tecnologias de saúde,released,knowledge,occupation-specific,,"A avaliação das propriedades, do desempenho e dos efeitos de tecnologias de saúde, com vista a determinar os seus efeitos diretos e indiretos e as suas consequências desejadas e indesejadas.
   ",http://data.europa.eu/esco/isced-f/0914,tecnologias de diagnóstico e terapêutica
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be0ff6d8-5e61-4021-9c89-e40cf0b75cc6,avaliar usabilidade de software,released,skill/competence,sector-specific,realizar testes de usabilidade de software | avaliar a usabilidade do software | avaliar utilizabilidade de software | realizar avaliação de usabilidade de software | medir usabilidade de software,Verificar a conveniência do produto de software para o utilizador final. Identificar os problemas dos utilizadores e fazer ajustamentos para melhorar a funcionalidade. Recolher dados sobre a forma como os utilizadores avaliam os produtos de software.,http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,instalar componentes de madeira e metal
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be149bed-a789-48ee-832b-620ccf776af9,Frostbite (sistemas de criação de jogos digitais),released,knowledge,sector-specific,,"O motor de jogos Frostbite é uma estrutura de software que consiste em ambientes de desenvolvimento integrado e ferramentas especializadas de conceção, concebidos para a rápida iteração de jogos de computador derivados do utilizador.",http://data.europa.eu/esco/skill/966f2fd3-3de6-42da-b87c-da924c6d7960 | http://data.europa.eu/esco/isced-f/0211,sistemas de criação de jogos digitais | técnicas audiovisuais e produção dos media
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be457a1c-5973-4781-9bb8-809703931f43,tipos de formatos audiovisuais,released,knowledge,cross-sector,,"Vários formatos de áudio e vídeo, incluindo o digital.",http://data.europa.eu/esco/isced-f/0211,técnicas audiovisuais e produção dos media
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be59c6bd-0e88-4ffe-bc81-50b86be815e6,criar mapa de texturas 3D,released,skill/competence,occupation-specific,,"Adicionar detalhes, cor ou textura de superfície, a um modelo ou gráfico em 3D feito em computador.",http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"conceber materiais, sistemas ou produtos industriais"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be64bb4c-84ac-4c83-8cc7-fc8593e15136,testar a acessibilidade dos sistemas para utilizadores com necessidades especiais,released,skill/competence,sector-specific,,"Examinar se a interface de software está em conformidade com as normas e os regulamentos, de modo a que o sistema possa ser utilizado por pessoas com necessidades especiais.",http://data.europa.eu/esco/skill/ddfe79e2-c2e3-4ba7-9bdf-3820b4f75b54 | http://data.europa.eu/esco/skill/15fa3879-ac0e-46e6-ae36-609bae9c19c3,identificar as necessidades do utilizador de sistemas informáticos | monitorizar atividades operacionais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be80acfc-b6f2-4411-9b8d-b19d9cd2556a,Swift (programação informática),released,knowledge,sector-specific,,"As técnicas e os princípios de desenvolvimento de software, tais como a análise, os algoritmos, a codificação, o ensaio e a compilação de paradigmas de programação em Swift.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,programação informática | desenvolvimento e análise de software e aplicações informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9,metodologias de gestão de projetos de informática,released,knowledge,sector-specific,métodos de gestão de projetos de TIC | metodologia de criação de software | métodos de gestão de projetos informáticos | métodos de desenvolvimento de software | métodos de gestão de projetos de informática | métodos informáticos de gestão de projetos,"As metodologias ou modelos de planeamento, gestão e supervisão dos recursos de TIC, a fim de cumprir objetivos específicos, incluindo as metodologias Waterfall, Incremental, V, Scrum ou Agile e utilizando ferramentas TIC de gestão de projetos.",http://data.europa.eu/esco/isced-f/0413,gestão e administração
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bedd8fa7-5a64-4134-9095-58f5709e25e4,Moodle,released,knowledge,sector-specific,,"O programa informático Moodle é uma plataforma de aprendizagem eletrónica para a criação, gestão, preparação, elaboração de relatórios e realização de cursos de educação ou programas de formação em linha.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,sistemas de gestão da aprendizagem | design e administração de bases de dados e de redes informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bee296bc-48f7-4df6-bd2c-8616c8a6c8de,desenhar hardware,released,skill/competence,sector-specific,,"Desenhar e desenvolver novos componentes e sistemas de hardware informáticos. Desenhar planos técnicos e esquemas da montagem, especificamente como é que o equipamento informático deve ser montado.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,conceber sistemas ou equipamento elétricos e eletrónicos
