conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21,2411.1.7,Auditor financeiro/Auditora financeira,0.0
Occupation,http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd,2411.1.8,Controlador financeiro/Controladora financeira,0.0
Occupation,http://data.europa.eu/esco/occupation/a04eedcf-8424-475a-8dc5-f30a9da4b151,2411.1.9,Investigador de fraude financeira/Investigadora de fraude,0.0
Occupation,http://data.europa.eu/esco/occupation/89330b57-6a30-40e1-b623-50f47a4b0c34,2411.1.10,Gestor de subvenções/Gestora de subvenções,0.0357142857142857
Occupation,http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830,2411.1.11,Contabilista público/Contabilista pública,0.0
Occupation,http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723,2411.1.12,Consultor fiscal/Consultora fiscal,0.0
Occupation,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,2411.1,Contabilista,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C2411,2411,Contabilistas,0.006798641414026024
Occupation,http://data.europa.eu/esco/occupation/50760da6-abc3-424c-b159-8ddf0818e016,2412.1,Avaliador de empresas/Avaliadora de empresas,0.0
Occupation,http://data.europa.eu/esco/occupation/d2d451cc-e839-4192-be54-d7724814aa03,2412.2,consultor bancário de empresas/consultora bancária de empresas,0.0256410256410256
Occupation,http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0,2412.3,gestor de riscos empresariais/gestora de riscos empresariais,0.0425531914893617
Occupation,http://data.europa.eu/esco/occupation/d96de969-d43d-4082-8559-7fc35484a217,2412.4.1,Gestor de conta bancária/Gestora de conta bancária,0.0178571428571428
Occupation,http://data.europa.eu/esco/occupation/21de0f3b-a71a-4263-a9ba-90c5f3721b4d,2412.4,Consultor financeiro/Consultora financeira,0.0
Occupation,http://data.europa.eu/esco/occupation/7a6ca615-a2bc-499d-8288-d186ce2594ea,2412.5,gestor de riscos financeiros/gestora de riscos financeiros,0.0
Occupation,http://data.europa.eu/esco/occupation/244a79eb-122b-4bee-8065-b4c39efce4ff,2412.6.1,Responsável pela área de corporate investment banking,0.0
Occupation,http://data.europa.eu/esco/occupation/934c3572-37f4-4cdd-a4a4-017f5f7809e4,2412.6.2,Assistente de gestão de fundos de investimento,0.0
Occupation,http://data.europa.eu/esco/occupation/0ecedad1-1144-45ff-83db-a3c4db393036,2412.6.3,Gestor de investimento/Gestora de investimento,0.0980392156862745
Occupation,http://data.europa.eu/esco/occupation/4c715719-3c3f-4058-ba00-9b2ef34848e8,2412.6.4,Diretor de relações com investidores/Diretora de relações com investidores,0.0217391304347826
Occupation,http://data.europa.eu/esco/occupation/38d9c76b-1a7b-4d65-879b-733ae7e9364e,2412.6,Consultor financeiro e de investimentos/Consultora financeiro e de investimentos,0.0833333333333333
Occupation,http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358,2412.7,Gestor de fundos de investimento/Gestora de fundos de investimento,0.087719298245614
Occupation,http://data.europa.eu/esco/occupation/7284ccbf-e2fd-4e2f-8bbf-bc54eab610d5,2412.8,Gestor de património/Gestora de património,0.0
Occupation,http://data.europa.eu/esco/occupation/de99886e-59e3-432d-ba53-9652dbe378d6,2412.9,Gestor de programas de financiamento/Gestora de programas de financiamento,0.0
Occupation,http://data.europa.eu/esco/occupation/4ed22a87-8478-4731-be11-5942eacb2e16,2412.10,Especialista em programas de financiamento públicos,0.0
Occupation,http://data.europa.eu/esco/occupation/659b0ffd-337c-4a1f-82e3-2730812279de,2412.11,Investidor de capital de risco/Investidora de capital de risco,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C2412,2412,Consultores financeiros e de investimentos,0.023555146105470905
Occupation,http://data.europa.eu/esco/occupation/1e331638-3f66-4641-9c49-56a94235f94c,2413.1.1,Analista de seguros,0.0
Occupation,http://data.europa.eu/esco/occupation/b7f47c25-bdf3-42fa-a68e-ad32754b2dba,2413.1.2,Analista de investimentos,0.116279069767441
Occupation,http://data.europa.eu/esco/occupation/18d2b37a-9c31-4393-833e-bc2f7b1ce52a,2413.1.3,Analista especialista em fusões e aquisições,0.0
