conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1063b061-329e-4212-8db4-ab936dc60efc,economia do ambiente,released,knowledge,sector-specific,princípios da economia ambiental,"Subdomínio da economia que estuda a afetação eficiente dos recursos ambientais com o objetivo de minimizar os impactos negativos no ambiente natural.
  ",http://data.europa.eu/esco/isced-f/0311,economia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/108320f7-c8a1-4386-aed9-91054ab05619,desenvolver políticas agrícolas,released,skill/competence,cross-sector,,"Desenvolver programas para o desenvolvimento de novas tecnologias e metodologias na agricultura, bem como o desenvolvimento e implementação de uma melhor sustentabilidade e consciência ambiental na agricultura.",http://data.europa.eu/esco/skill/8ed41305-4abf-4b54-9f8f-0e043d26feba,desenvolver políticas e legislação
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10ff3d22-1f29-48bc-98e4-63fc61c78034,alianças sociais,released,knowledge,sector-specific,,"A criação de parcerias entre diferentes intervenientes (empresas, organizações sem fins lucrativos ou organizações do setor público), através das quais partilham recursos e conhecimentos para uma causa comum, normalmente, para resolver um problema social ou ambiental.
   ",http://data.europa.eu/esco/isced-f/0314,sociologia e estudos culturais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/110d7aa3-e44e-4cce-a927-8d4de615f3d9,triar resíduos,released,skill/competence,cross-sector,,"Triar resíduos separando-os para os seus diferentes elementos, manual ou automaticamente.",http://data.europa.eu/esco/skill/485b2e3b-f883-46d8-901f-ab521d4f8e58,triar materiais ou produtos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/111b9dad-b2e0-4b55-8d0f-2e41cb435f64,garantir a inexistência de efeitos nocivos sobre os aditivos para a alimentação animal,released,skill/competence,occupation-specific,,Garantir que os aditivos para a alimentação animal são submetidos a uma avaliação científica para avaliar se o aditivo tem quaisquer efeitos nocivos para a saúde humana ou animal ou para o ambiente.,http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,garantir a conformidade com procedimentos de saúde e segurança
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/114a79ef-1e62-475b-a862-954f5b4cca20,desenvolver processos de gestão de resíduos,released,skill/competence,sector-specific,,"Desenvolver equipamentos, métodos e procedimentos que possam ser aplicados em vários tipos de instalações de tratamento e eliminação de resíduos, a fim de melhorar a eficiência dos processos de gestão de resíduos, reduzir o impacto ambiental e garantir a segurança do pessoal operacional na gestão de resíduos.",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/73a9561d-112c-4d8a-9d5f-b2c11c5bbd5f,desenvolver políticas e procedimentos operacionais | gerir os resíduos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/128f318e-1bc8-4921-821f-b0aad1d98922,determinar o sistema de aquecimento e refrigeração adequado,released,skill/competence,sector-specific,,"Determinar qual o sistema adequado em relação às fontes de energia disponíveis (solo, gás, eletricidade, urbana, etc.) e que corresponda aos requisitos dos edifícios com necessidades quase nulas de energia.
	",http://data.europa.eu/esco/skill/6ee936b0-4e0c-4e04-97c7-1f4ee9230d67,desenvolver objetivos e estratégias
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/12d7ea6f-ec1f-4f9a-a50b-8e2e9693f068,transporte de matérias perigosas,released,knowledge,sector-specific,,"Regulamentação e procedimentos de segurança que estão envolvidos no transporte de materiais e produtos perigosos, tais como resíduos perigosos, produtos químicos, explosivos e materiais inflamáveis.",http://data.europa.eu/esco/isced-f/1041,serviços de transporte
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13f7cd7c-6ec5-4186-8744-de3c780b973d,aconselhar sobre questões paisagísticas,released,skill/competence,occupation-specific,,"Prestar aconselhamento sobre o planeamento, o desenvolvimento e os cuidados a ter com projetos paisagísticos novos e existentes.",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/6ebb869b-3931-4c7f-b168-07e2a271b1bc,prestar aconselhamento sobre questões ambientais | liderar projetos paisagísticos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/145fb42f-ebee-48e2-bdf8-2e935edc7158,desinfetar superfícies,released,skill/competence,cross-sector,,"Aplicar os procedimentos de limpeza corretos, tendo em consideração o manuseamento seguro dos desinfetantes, para remover contaminantes, poluentes e riscos bacterianos de várias superfícies, tais como interiores de edifícios, veículos e estradas.",http://data.europa.eu/esco/skill/2bf2c727-ee42-4fc5-a4d7-2cd62b880433,limpar
